Region,Year,Deaths,Population,Crude Rate
Northeast,2013,5808,56047732,10.36
Northeast,2014,5982,56203078,10.64
Northeast,2015,6054,56296628,10.75
Northeast,2016,6078,56359360,10.78
Northeast,2017,6388,56470581,11.31
